key,name,unsettling_description,original_description
0,Greenhorn (15k),TODO,"Earn 15,000g"
1,Cowpoke (50k),TODO,"Earn 50,000g"
2,Homesteader (250k),TODO,"Earn 250,000g"
3,Millionaire (1mil),TODO,"Earn 1,000,000g"
4,Legend (10mil),TODO,"Earn 10,000,000g"
5,A Complete Collection,TODO,Complete the museum collection.
6,A New Friend,TODO,Reach a 5-heart friend level with someone.
7,Best Friends,TODO,Reach a 10-heart friend level with someone.
9,The Beloved Farmer,TODO,Reach a 10-heart friend level with 8 people.
11,Cliques,TODO,Reach a 5-heart friend level with 4 people.
12,Networking,TODO,Reach a 5-heart friend level with 10 people.
13,Popular,TODO,Reach a 5-heart friend level with 20 people.
15,Cook,TODO,Cook 10 different recipes.
16,Sous Chef,TODO,Cook 25 different recipes.
17,Gourmet Chef,TODO,Cook every recipe.
18,Moving Up,TODO,Upgrade your house.
19,Living Large,TODO,Upgrade your house to the maximum size.
20,D.I.Y.,TODO,Craft 15 different items.
21,Artisan,TODO,Craft 30 different items.
22,Craft Master,TODO,Craft every item.
24,Fisherman,TODO,Catch 10 different fish.
25,Ol' Mariner,TODO,Catch 24 different fish.
26,Master Angler,TODO,Catch every fish.
27,Mother Catch,TODO,Catch 100 fish.
28,Treasure Trove,TODO,Donate 40 different items to the museum.
29,Gofer,TODO,Complete 10 'Help Wanted' requests.
30,A Big Help,TODO,Complete 40 'Help Wanted' requests.
31,Polyculture,TODO,Ship 15 of each crop.
32,Monoculture,TODO,Ship 300 of one crop.
34,Full Shipment,TODO,Ship every item.
