key,name,unsettling_description,original_description
504,Sneakers,TODO,A little flimsy... but fashionable!
505,Rubber Boots,TODO,Protection from the elements.
506,Leather Boots,TODO,The leather is very supple.
507,Work Boots,TODO,Steel-toed for extra protection.
508,Combat Boots,TODO,Reinforced with iron mesh.
509,Tundra Boots,TODO,The fuzzy lining keeps your ankles so warm.
510,Thermal Boots,TODO,Designed with extreme weather in mind.
511,Dark Boots,TODO,Made from thick black leather.
512,Firewalker Boots,TODO,It's said these can withstand the hottest magma.
513,Genie Shoes,TODO,A curious energy permeates the fabric.
514,Space Boots,TODO,An iridium weave gives them a purple sheen.
515,Cowboy Boots,TODO,It's the height of country fashion.
804,Emily's Magic Boots,TODO,Made with love by Emily. 100% compostable!
806,Leprechaun Shoes,TODO,The buckle's made of solid gold.
