key,name,unsettling_description,original_description
-1,Pants,TODO,A wearable pair of pants.
-2,Shirt,TODO,A wearable shirt.
0,Farmer Pants,TODO,Comfortable and durable for long hours in the field.
1,Shorts,TODO,Perfect for a hot summer's day... your legs will thank you.
2,Long Dress,TODO,"A long, flowy dress."
3,Skirt,TODO,A cute skirt.
4,Pleated Skirt,TODO,A cute pleated skirt.
5,Dinosaur Pants,TODO,These pants were thought to have gone extinct a long time ago!
6,Grass Skirt,TODO,A skirt made of dried grass.
7,Luau Skirt,TODO,A skirt destined to make you the 'luau' the party!
8,Genie Pants,TODO,Pants that balloon out near the bottom. Your wish has been answered!
9,Tight Pants,TODO,A very tight pair of pants.
10,Baggy Pants,TODO,A loose pair of pants.
11,Simple Dress,TODO,"A soft, smooth, medium length dress."
12,Relaxed Fit Pants,TODO,These pants have a little more room for the legs.
13,Relaxed Fit Shorts,TODO,These shorts have a little more room for the legs.
14,Polka Dot Shorts,TODO,Whoops!
15,Trimmed Lucky Purple Shorts,TODO,Purple silk shorts trimmed in luxurious gold...
998,Prismatic Pants,TODO,Pants that shimmer with prismatic energy.
999,Prismatic Genie Pants,TODO,Pants that shimmer with prismatic energy.
1000,Classic Overalls,TODO,A farming classic.
1002,Mint Blouse,TODO,"A cute, light green blouse."
1003,Dark Shirt,TODO,A dark colored shirt.
1004,Skull Shirt,TODO,A shirt was a menacing skull printed on it.
1005,Light Blue Shirt,TODO,A light blue shirt.
1006,Tan Striped Shirt,TODO,A tan shirt with a white stripe going through the middle of it.
1007,Green Overalls,TODO,A slightly less popular farming classic.
1008,"""Good Grief"" Shirt",TODO,A good ol' shirt...
1009,Aquamarine Shirt,TODO,An aquamarine shirt.
1010,Suit Top,TODO,A formal top for fancy events and celebrations.
1011,Green Belted Shirt,TODO,"A green, belted shirt."
1012,Lime Green Striped Shirt,TODO,A lime green shirt with white stripes.
1013,Red Striped Shirt,TODO,A red shirt with white stripes.
1014,Skeleton Shirt,TODO,A shirt with a skeletal rib cage printed on it.
1015,Orange Shirt,TODO,An orange shirt.
1016,Night Sky Shirt,TODO,A shirt that reminds you of the night sky.
1017,Mayoral Suspenders,TODO,A pair of suspenders that looks awfully familiar...
1018,Brown Jacket,TODO,"A nice, sturdy jacket made of brown material."
1019,Sailor Shirt,TODO,Reminds you of the open sea.
1020,Green Vest,TODO,A neat green vest over a shirt.
1021,Yellow and Green Shirt,TODO,A yellow shirt with a green stripe.
1026,Light Blue Striped Shirt,TODO,A light blue shirt with a white stripe.
1027,Pink Striped Shirt,TODO,A pink shirt with stripes.
1028,Heart Shirt,TODO,Wear your heart on your sleeves with this extra soft garment.
1029,Work Shirt,TODO,For long days in the fields.
1030,Store Owner's Jacket,TODO,A jacket that looks like it'd be worn by a small town merchant.
1034,Green Tunic,TODO,A shirt fit for an adventurer.
1035,Fancy Red Blouse,TODO,A bright red blouse adorned with shiny yellow buttons.
1038,Plain Shirt,TODO,A simple shirt.
1039,Retro Rainbow Shirt,TODO,A simple shirt with a faded rainbow pattern.
1042,Lime Green Tunic,TODO,A bright green tunic with a belt.
1087,Neat Bow Shirt,TODO,A neat button down shirt with a prominent bow tie.
