key,name,unsettling_description,original_description
0,Weeds,TODO,A bunch of obnoxious weeds.
2,Stone,TODO,A useful material when broken with the Pickaxe.
4,Stone,TODO,A useful material when chopped with the axe.
16,Wild Horseradish,TODO,A spicy root found in the spring.
18,Daffodil,TODO,A traditional spring flower that makes a nice gift.
20,Leek,TODO,A tasty relative of the onion.
22,Dandelion,TODO,"Not the prettiest flower, but the leaves make a good salad."
24,Parsnip,TODO,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.
30,Lumber,TODO,A versatile resource used for building and fuel.
60,Emerald,TODO,A precious stone with a brilliant green color.
62,Aquamarine,TODO,A shimmery blue-green gem.
64,Ruby,TODO,A precious stone that is sought after for its rich color and beautiful luster.
66,Amethyst,TODO,A purple variant of quartz.
68,Topaz,TODO,Fairly common but still prized for its beauty.
70,Jade,TODO,A pale green ornamental stone.
71,Trimmed Lucky Purple Shorts,TODO,Purple silk shorts trimmed in luxurious gold...
72,Diamond,TODO,A rare and valuable gem.
74,Prismatic Shard,TODO,A very rare and powerful substance with unknown origins.
75,Stone,TODO,...
76,Stone,TODO,...
77,Stone,TODO,...
78,Cave Carrot,TODO,A starchy snack found in caves. It helps miners work longer.
79,Secret Note,TODO,"It's old and crumpled, but if you look closely you can make out the details..."
80,Quartz,TODO,A clear crystal commonly found in caves and mines.
82,Fire Quartz,TODO,A glowing red crystal commonly found near hot lava.
84,Frozen Tear,TODO,A crystal fabled to be the frozen tears of a yeti.
86,Earth Crystal,TODO,A resinous substance found near the surface.
88,Coconut,TODO,A seed of the coconut palm. It has many culinary uses.
90,Cactus Fruit,TODO,The sweet fruit of the prickly pear cactus.
92,Sap,TODO,A fluid obtained from trees.
93,Torch,TODO,Provides a modest amount of light.
94,Spirit Torch,TODO,It's unclear where the blue color comes from...
96,Dwarf Scroll I,TODO,A yellowed scroll of parchment filled with dwarven script. This one's tied with a red bow.
97,Dwarf Scroll II,TODO,A yellowed scroll of parchment filled with dwarven script. This one's tied with a green ribbon.
98,Dwarf Scroll III,TODO,A yellowed scroll of parchment filled with dwarven script. This one's tied with a blue rope.
99,Dwarf Scroll IV,TODO,A yellowed scroll of parchment filled with dwarven script. This one's tied with a golden chain.
100,Chipped Amphora,TODO,An ancient vessel made of ceramic material. Used to transport both dry and wet goods.
