key,name,unsettling_description,original_description
0,Cowboy Hat,TODO,"The leather is old and cracked, but surprisingly supple. It smells musty."
1,Bowler Hat,TODO,Made from smooth felt.
2,Top Hat,TODO,A gentleman's classic.
3,Sombrero,TODO,A festively decorated hat made from woven straw.
4,Straw Hat,TODO,"Light and cool, it's a farmer's delight."
5,Official Cap,TODO,"Looks like it belonged to a postman or policeman. Either way, it's still very soft and smells okay."
6,Blue Bonnet,TODO,Harken back to simpler times with this prairie bonnet.
7,Plum Chapeau,TODO,Looks alright.
8,Skeleton Mask,TODO,The red eyes are glowing mysteriously.
9,Goblin Mask,TODO,Freak out the neighborhood with this creepy mask. Rubber ear joints for effect.
10,Chicken Mask,TODO,You'll be sure to get them grinning with this one.
11,Earmuffs,TODO,Keep your ears toasty. Lined with artisanal velvet from Castle Village.
12,Delicate Bow,TODO,Little pink jewels glisten as you examine it.
13,Tropiclip,TODO,It's shaped like a little palm tree.
14,Butterfly Bow,TODO,This one is very soft.
15,Hunter's Cap,TODO,The wool lining should stay warm deep into the forest.
16,Trucker Hat,TODO,Mesh in the back to keep your head cool.
17,Sailor's Cap,TODO,It's fresh and starchy.
18,Good Ol' Cap,TODO,A floppy old topper with a creased bill. Looks like it's been through a lot.
19,Fedora,TODO,A city-slicker's standard.
20,Cool Cap,TODO,"It looks really faded, but it used to be a vibrant blue."
21,Lucky Bow,TODO,The middle is made of solid gold.
22,Polka Bow,TODO,This one's sure to be turn heads.
23,Gnome's Cap,TODO,This gnome had a very large head.
24,Eye Patch,TODO,You can't tell if it's real or just from a costume shop.
25,Santa Hat,TODO,Celebrate the magical season.
26,Tiara,TODO,This one has a big amethyst encircled by gold.
27,Hard Hat,TODO,Keep your dome in one piece.
28,Sou'wester,TODO,The shape helps to keep sailors dry during storms.
29,Daisy,TODO,A fresh spring daisy to put in your hair.
30,Watermelon Band,TODO,The color scheme was inspired by the beloved summer melon.
31,Mouse Ears,TODO,Made from synthetic fibers.
32,Cat Ears,TODO,Whiskers included.
33,Cowgal Hat,TODO,The band is studded with fake diamonds.
34,Cowpoke Hat,TODO,For dairy experts.
35,Archer's Cap,TODO,Fashionable whether you're an archer or not.
36,Panda Hat,TODO,A lovely panda hat.
37,Blue Cowboy Hat,TODO,A denim cowboy hat in cool blue.
38,Red Cowboy Hat,TODO,An eye-catching cowboy hat in red suede.
39,Cone Hat,TODO,A curiosity from a distant land.
40,Living Hat,TODO,It absorbs moisture from your scalp. No watering needed!
41,Emily's Magic Hat,TODO,Made with love by Emily. It's 100% organic!
42,Mushroom Cap,TODO,It smells earthy.
43,Dinosaur Hat,TODO,A hat fashioned to look like a small dinosaur.
44,Totem Mask,TODO,"Don't worry, it won't warp your face..."
45,Logo Cap,TODO,A red cap with a logo on the front.
46,Wearable Dwarf Helm,TODO,"A slightly larger, human sized version of the helmets worn by dwarves."
47,Fashion Hat,TODO,A fashionable hat with a feather in the brim.
48,Pumpkin Mask,TODO,This must have been a pretty big pumpkin once...
49,Hair Bone,TODO,A prehistoric version of the hair bow.
50,Knight's Helmet,TODO,It looks just like the real thing!
51,Squire's Helmet,TODO,The face is exposed to increase air flow.
52,Spotted Headscarf,TODO,A red polka-dot scarf tied around the head.
53,Beanie,TODO,A warm hat with a pretty tight fit.
54,Floppy Beanie,TODO,A warm hat with a looser fit.
55,Fishing Hat,TODO,The wide brim keeps you shaded when you're fishing on the riverbank.
56,Blobfish Mask,TODO,Just as spongy as the real thing!
57,Party Hat,TODO,A goofy red hat that makes any celebration more fun.
58,Party Hat,TODO,A goofy blue hat that makes any celebration more fun.
59,Party Hat,TODO,A goofy green hat that makes any celebration more fun.
60,Arcane Hat,TODO,The type of cowboy hat worn by a wizard.
61,Chef Hat,TODO,The traditional hat worn by a head chef.
62,Pirate Hat,TODO,A captain's hat with a horrible skull on the front.
63,Flat Topped Hat,TODO,An old style of hat once considered very fashionable.
64,Elegant Turban,TODO,A fine black silk turban with gold trim.
65,White Turban,TODO,A fine white silk turban with blue trim.
66,Garbage Hat,TODO,It's a garbage can lid 'upcycled' into a hat...
67,Golden Mask,TODO,A faithful recreation of the Calico Desert relic!
68,Propeller Hat,TODO,A goofy hat with a propeller on top.
69,Bridal Veil,TODO,The traditional headwear for a bride.
70,Witch Hat,TODO,A pointy hat popular with witches.
71,Copper Pan,TODO,You place the copper pan on your head...
72,Green Turban,TODO,A green silk turban with a gold ornament on the front.
73,Magic Cowboy Hat,TODO,It's shimmering with prismatic energy
74,Magic Turban,TODO,It's shimmering with prismatic energy
