key,name,unsettling_description,original_description
0,Rusty Sword,TODO,"A rusty, dull old sword."
1,Silver Saber,TODO,Plated with silver to deter rust.
2,Dark Sword,TODO,It's glowing with vampire energy.
3,Holy Blade,TODO,It feels hopeful to wield.
4,Galaxy Sword,TODO,It's unlike anything you've ever seen.
5,Bone Sword,TODO,A very light piece of sharpened bone.
6,Iron Edge,TODO,A heavy broadsword.
7,Templar's Blade,TODO,It once belonged to an honorable knight.
8,Obsidian Edge,TODO,It's incredibly sharp.
9,Lava Katana,TODO,A powerful blade forged in a pool of churning lava.
10,Claymore,TODO,It's really heavy.
11,Steel Smallsword,TODO,A standard metal blade.
12,Wooden Blade,TODO,Not bad for a piece of carved wood.
13,Insect Head,TODO,Not very pleasant to wield.
14,Neptune's Glaive,TODO,An heirloom from beyond the Gem Sea.
15,Forest Sword,TODO,Made powerful by forest magic.
16,Carving Knife,TODO,"A small, light blade."
17,Iron Dirk,TODO,A common dagger.
18,Burglar's Shank,TODO,A weapon of choice for the swift and silent.
19,Shadow Dagger,TODO,"When you hold the blade to your ear you can hear 1,000 souls shrieking."
20,Elf Blade,TODO,Only the nimble hands of an elf could craft this.
21,Crystal Dagger,TODO,The blade is made of purified quartz.
22,Wind Spire,TODO,A swift little blade.
23,Galaxy Dagger,TODO,It's unlike anything you've seen.
24,Wood Club,TODO,"A solid piece of wood, crudely chiseled into a club shape."
25,Alex's Bat,TODO,The sweet spot is dented from Alex's famous Grand Slam.
26,Lead Rod,TODO,It's incredibly heavy.
27,Wood Mallet,TODO,The solid head packs a punch. Relatively light for a club.
28,The Slammer,TODO,An extremely heavy gavel that'll send foes flying.
29,Galaxy Hammer,TODO,It's made from an ultra-light material you've never seen before.
30,Sam's Old Guitar,TODO,It's seen better days.
31,Femur,TODO,"An old, heavy bone caked in centuries of grime."
32,Slingshot,TODO,Requires stones for ammo.
33,Master Slingshot,TODO,Requires stones for ammo.
34,Galaxy Slingshot,TODO,It looks really powerful.
35,Elliott's Pencil,TODO,Elliott used this to write his book. It's sharp!
36,Maru's Wrench,TODO,"A big, metal wrench. It smells like Maru."
37,Harvey's Mallet,TODO,It brings back memories of Harvey's clinic.
38,Penny's Fryer,TODO,Penny's favorite frying pan. There's some rubbery gunk stuck to the inside.
39,Leah's Whittler,TODO,Leah's favorite tool for shaping driftwood.
40,Abby's Planchette,TODO,It's made from fine marblewood.
41,Seb's Lost Mace,TODO,One of Sebastian's medieval replicas.
42,Haley's Iron,TODO,It's searing hot and smells like Haley's hair.
43,Pirate's Sword,TODO,It looks like a pirate owned this once.
44,Cutlass,TODO,A finely crafted blade.
45,Wicked Kris,TODO,The blade is made of an iridium alloy.
46,Kudgel,TODO,A brute's companion.
47,Scythe,TODO,"It can cut grass into hay, if you've built a silo."
48,Yeti Tooth,TODO,It's icy cold to the touch.
49,Rapier,TODO,An elegant blade.
50,Steel Falchion,TODO,Light and powerful.
51,Broken Trident,TODO,"It came from the sea, but it's still sharp."
52,Tempered Broadsword,TODO,It looks like it could withstand anything.
53,Golden Scythe,TODO,It's more powerful than a normal scythe.
