tilesheet_coordinates,key,name,image,imageF,made_with,unsettling_description,silly_description,original_description
,-1,Pants,,,,Totally optional.,,A wearable pair of pants.
,-2,Shirt,,,,TODO,,A wearable shirt.
"(0, 0)",0,Farmer Pants,,,"Cranberries, Strawberry, Wild Plum",Totally optional.,,Comfortable and durable for long hours in the field.
"(192, 0)",1,Shorts,,,"Blueberry, Grape, Hot Pepper, Melon","Mmm yes, show a little ankle.",,Perfect for a hot summer's day... your legs will thank you.
"(384, 0)",2,Long Dress,,,"Fairy Rose, Sunflower",The flowing hem drags in the dirt as you walk.,,"A long, flowy dress."
"(576, 0)",3,Skirt,,,"Blue Jazz, Tulip",TODO,,A cute skirt.
"(768, 0)",4,Pleated Skirt,,,"Poppy, Summer Spangle",TODO,,A cute pleated skirt.
"(960, 0)",5,Dinosaur Pants,,,Dinosaur Mayonnaise,What's in your pants? Fossils.,,These pants were thought to have gone extinct a long time ago!
"(1152, 0)",6,Grass Skirt,,,Hay,"Scratchy down there, but has great airflow!",,A skirt made of dried grass.
"(1344, 0)",7,Luau Skirt,,,,UNOBTAINABLE,,A skirt destined to make you the 'luau' the party!
"(1536, 0)",8,Genie Pants,,,"Ancient Fruit, Starfruit",TODO,,Pants that balloon out near the bottom. Your wish has been answered!
"(1728, 0)",9,Tight Pants,,,,UNOBTAINABLE,,A very tight pair of pants.
"(0, 688)",10,Baggy Pants,,,Slime Egg (any color),TODO,,A loose pair of pants.
"(192, 688)",11,Simple Dress,,,Honey,TODO,,"A soft, smooth, medium length dress."
"(384, 688)",12,Relaxed Fit Pants,,,"Apple, Apricot, Cherry, Pomegranate",TODO,,These pants have a little more room for the legs.
"(576, 688)",13,Relaxed Fit Shorts,,,"Orange, Peach",TODO,,These shorts have a little more room for the legs.
"(768, 688)",14,Polka Dot Shorts,,,,UNOBTAINABLE,,Whoops!
"(960, 688)",15,Trimmed Lucky Purple Shorts,,,Lucky Purple Shorts,The mayor's used silk shorts. They look better on you than on Marnie's floor.,,Purple silk shorts trimmed in luxurious gold...
"(0, 0)",998,Prismatic Pants,,,Prismatic Shard,TODO,,Pants that shimmer with prismatic energy.
"(1536, 0)",999,Prismatic Genie Pants,,,Prismatic Shard,TODO,,Pants that shimmer with prismatic energy.
"(0, 0)",1000,Classic Overalls,,,Complete Breakfast,TODO,,A farming classic.
"(8, 0)",1001,Shirt,,,Clay,This shirt hardens and cracks as it dries.,,
"(16, 0)",1002,Mint Blouse,,,Dandelion,TODO,,"A cute, light green blouse."
"(24, 0)",1003,Dark Shirt,,,Bat Wing,"Sewn out of warm, leathery, breathable bat wings.",,A dark colored shirt.
"(32, 0)",1004,Skull Shirt,,,Prehistoric Skull,The decal on the front sports shaved-off bits of actual bone.,,A shirt was a menacing skull printed on it.
"(40, 0)",1005,Light Blue Shirt,,,Mayonnaise,Softly conditioned with mayonnaise.,,A light blue shirt.
"(48, 0)",1006,Tan Striped Shirt,,,Sap,It sticks to your skin.,,A tan shirt with a white stripe going through the middle of it.
"(56, 0)",1007,Green Overalls,,,Fiddlehead Fern,TODO,,A slightly less popular farming classic.
"(64, 0)",1008,"""Good Grief"" Shirt",,,Wild Horseradish,Perfect for playing gridball.,,A good ol' shirt...
"(72, 0)",1009,Aquamarine Shirt,,,Duck Mayonnaise,Sticks wetly to your armpits.,,An aquamarine shirt.
"(80, 0)",1010,Suit Top,,,Bouquet,TODO,,A formal top for fancy events and celebrations.
"(88, 0)",1011,Green Belted Shirt,,,Cave Carrot,TODO,,"A green, belted shirt."
"(96, 0)",1012,Lime Green Striped Shirt,,,Duck Feather,Definitely non-vegan.,,A lime green shirt with white stripes.
"(104, 0)",1013,Red Striped Shirt,,,Cranberry Candy,TODO,,A red shirt with white stripes.
"(112, 0)",1014,Skeleton Shirt,,,"Prehistoric Rib, ","With stiff, authentic boning.",,A shirt with a skeletal rib cage printed on it.
"(120, 0)",1015,Orange Shirt,,,Chanterelle,TODO,,An orange shirt.
"(0, 32)",1016,Night Sky Shirt,,,Blueberry Tart,TODO,,A shirt that reminds you of the night sky.
"(8, 32)",1017,Mayoral Suspenders,,,Vegetable Medley,For holding up your lucky shorts.,,A pair of suspenders that looks awfully familiar...
"(16, 32)",1018,Brown Jacket,,,Mudstone,TODO,,"A nice, sturdy jacket made of brown material."
"(24, 32)",1019,Sailor Shirt,,,,TODO,,Reminds you of the open sea.
"(32, 32)",1020,Green Vest,,,Bean Hotpot,TODO,,A neat green vest over a shirt.
