tilesheet_coordinates,key,name,image,unsettling_description,silly_description,original_description
"(0, 0)",0,Weeds,,UNOBTAINABLE,,A bunch of obnoxious weeds.
"(32, 0)",2,Stone,,UNOBTAINABLE,,A useful material when broken with the Pickaxe.
"(64, 0)",4,Stone,,UNOBTAINABLE,,A useful material when chopped with the axe.
"(256, 0)",16,Wild Horseradish,,"A hotly pungent, fleshy root. Crushing or grinding it releases the flavor and heat.",,A spicy root found in the spring.
"(288, 0)",18,Daffodil,,Contains a sap poisonous to many other plants and animals. Gifting a single flower is considered bad luck.,,A traditional spring flower that makes a nice gift.
"(320, 0)",20,Leek,,Some wild animal marked its territory on this one.,,A tasty relative of the onion.
"(352, 0)",22,Dandelion,,The leaves are a powerful diuretic; eating them increases urine production.,,"Not the prettiest flower, but the leaves make a good salad."
"(0, 16)",24,Parsnip,,"It has all the flavor of a bleached, long-dead carrot.",,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.
"(96, 16)",30,Lumber,,UNOBTAINABLE,,A versatile resource used for building and fuel.
"(192, 32)",60,Emerald,,This gem is thought to guard against memory loss. A thoughtful gift for divorcees.,,A precious stone with a brilliant green color.
"(224, 32)",62,Aquamarine,,Thought to protect against seasickness and tragic sailing accidents.,,A shimmery blue-green gem.
"(256, 32)",64,Ruby,,"The ""pigeon's blood"" variety of this gem is its most sought-after color variant.",,A precious stone that is sought after for its rich color and beautiful luster.
"(288, 32)",66,Amethyst,,Some sources suggest that this stone is used to stabilize mental disorders.,,A purple variant of quartz.
"(320, 32)",68,Topaz,,"When worn as a necklace, this gemstone is believed to drive away sadness.",,Fairly common but still prized for its beauty.
"(352, 32)",70,Jade,,"In many cultures, this stone has a strong association with the dead.",,A pale green ornamental stone.
"(368, 32)",71,Trimmed Lucky Purple Shorts,,The mayor's used silk shorts. They look better on you than on Marnie's floor.,,Purple silk shorts trimmed in luxurious gold...
"(0, 48)",72,Diamond,,This one seems to be clear of blood.,,A rare and valuable gem.
"(32, 48)",74,Prismatic Shard,,You can feel the colour vibrate in your skull. Looking at it too long might alter your vision permanently.,,A very rare and powerful substance with unknown origins.
"(48, 48)",75,Stone,,UNOBTAINABLE,,...
"(64, 48)",76,Stone,,UNOBTAINABLE,,...
"(80, 48)",77,Stone,,UNOBTAINABLE,,...
"(96, 48)",78,Cave Carrot,,A dirtier variety of carrot. Fulfills many needs of a miner.,,A starchy snack found in caves. It helps miners work longer.
"(112, 48)",79,Secret Note,,Better hope it's not about you...,,"It's old and crumpled, but if you look closely you can make out the details..."
"(128, 48)",80,Quartz,,The fine dust released when cutting these crystals can cause fibrosis of the lungs.,,A clear crystal commonly found in caves and mines.
"(160, 48)",82,Fire Quartz,,The red glow of this crystal never seems to fade.,,A glowing red crystal commonly found near hot lava.
"(192, 48)",84,Frozen Tear,,The last remnant of some long forgotten creature.,,A crystal fabled to be the frozen tears of a yeti.
"(224, 48)",86,Earth Crystal,,"A cloudy, fragile gemstone commonly gifted by cheapskates.",,A resinous substance found near the surface.
"(256, 48)",88,Coconut,,"Covered in rough hair, it provides both milk and meat.",,A seed of the coconut palm. It has many culinary uses.
"(288, 48)",90,Cactus Fruit,,You'd have to spend a long time under the desert sun to consider this fruit edible.,,The sweet fruit of the prickly pear cactus.
"(320, 48)",92,Sap,,Tree blood. It's still sticky.,,A fluid obtained from trees.
"(336, 48)",93,Torch,,"Flickers suddenly from time to time, even when there is no breeze.",,Provides a modest amount of light.
"(352, 48)",94,Spirit Torch,,UNOBTAINABLE,,It's unclear where the blue color comes from...
"(0, 64)",96,Dwarf Scroll I,,"A scroll written in an ancient language... it probably isn't calling for genocide of surface dwellers, right?",,A yellowed scroll of parchment filled with dwarven script. This one's tied with a red bow.
"(16, 64)",97,Dwarf Scroll II,,"A scroll written in an ancient language, describing a species that never expected to become endangered.",,A yellowed scroll of parchment filled with dwarven script. This one's tied with a green ribbon.
"(32, 64)",98,Dwarf Scroll III,,"A scroll written in an ancient language, the writer unaware their days were numbered.",,A yellowed scroll of parchment filled with dwarven script. This one's tied with a blue rope.
"(48, 64)",99,Dwarf Scroll IV,,A scroll written in an ancient language. It seems to end abruptly...,,A yellowed scroll of parchment filled with dwarven script. This one's tied with a golden chain.
"(64, 64)",100,Chipped Amphora,,Hopefully not used in any sacrificial rituals.,,An ancient vessel made of ceramic material. Used to transport both dry and wet goods.
"(80, 64)",101,Arrowhead,,Even early tools were designed to kill.,,A crudely fashioned point used for hunting.
"(96, 64)",102,Lost Book,,NON-INVENTORY,,Writings from a wide variety of time periods.
"(112, 64)",103,Ancient Doll,,"When left out of sight, this doll seems to change position on its own.",,"An ancient doll covered in grime. This doll may have been used as a toy, a decoration, or a prop in some kind of ritual."
"(128, 64)",104,Elvish Jewelry,,Legend says they are enchanted to be as warm as their owners. It's cold to the touch.,,Dirty but still beautiful. On the side is a flowing script thought by some to be the ancient language of the elves. No Elvish bones have ever been found.
"(144, 64)",105,Chewing Stick,,You can still taste what the last person who used it had for lunch.,,Ancient people chewed on these to keep their teeth clean.
"(160, 64)",106,Ornamental Fan,,Conceal your face and your true intentions.,,This exquisute fan most likely belonged to a noblewoman. Historians believe that the valley was a popular sixth-era vacation spot for the wealthy.
"(176, 64)",107,Dinosaur Egg,,Perhaps it can still hatch... what could go wrong?,,A giant dino egg... The entire shell is still intact!
"(192, 64)",108,Rare Disc,,ALREADY UNSETTLING,,"A heavy black disc studded with peculiar red stones. When you hold it, you're overwhelmed with a feeling of dread."
"(208, 64)",109,Ancient Sword,,"The sword may be in bad shape, but it has far outlived its owner.",,"It's the remains of an ancient sword. Most of the blade has turned to rust, but the hilt is very finely crafted."
"(224, 64)",110,Rusty Spoon,,"Despite its normal shape, I wouldn't use it for breakfast.",,"A plain old spoon, probably ten years old. Not very interesting."
"(240, 64)",111,Rusty Spur,,A modern tool of animal abuse.,,An old spur that was once attached to a cowboy's boot. People must have been raising animals in this area for many generations.
"(256, 64)",112,Rusty Cog,,It reminds you of your old manager.,,A well preserved cog that must have been part of some ancient machine. This could be dwarven technology.
"(272, 64)",113,Chicken Statue,,A mummified chicken in pristine condition. When you shake it you can hear small bones rattling inside.,,It's a statue of a chicken on a bronze base. The ancient people of this area must have been very fond of chickens.
"(288, 64)",114,Ancient Seed,,This shriveled seed appears to be long dead. Is reviving it a good idea?,,It's a dry old seed from some ancient plant. By all appearances it's long since dead...
"(304, 64)",115,Prehistoric Tool,,May have been used for primitive eviscerations.,,Some kind of gnarly old digging tool.
"(320, 64)",116,Dried Starfish,,"Some believe that starfish scream as the sun dries them out, but only fish can hear their piercing cries.",,A starfish from the primordial ocean. It's an unusually pristine specimen!
"(336, 64)",117,Anchor,,This wasn't meant to be lost.,,It may have belonged to ancient pirates.
"(352, 64)",118,Glass Shards,,They almost look like candy.,,A mixture of glass shards smoothed by centuries of ocean surf. These could have belonged to an ancient mosaic or necklace.
"(368, 64)",119,Bone Flute,,"Imagine blowing some ancient creature's dirty, bacteria-filled tibia. Bone flute!",,It's a prehistoric wind instrument carved from an animal's bone. It produces an eerie tone.
"(0, 80)",120,Prehistoric Handaxe,,"Despite its age, the rock's edge is still deadly sharp.",,"One of the earliest tools employed by humans. This ""crude"" tool was created by striking one rock with another to form a sharp edge."
"(16, 80)",121,Dwarvish Helm,,"It's sturdy, but even the best armor couldn't prevent their near-extinction.",,It's one of the helmets commonly worn by dwarves. The thick metal plating protects them from falling debris and stalactites.
"(32, 80)",122,Dwarf Gadget,,"The strange crystalline screen stays lit, but shows only static.",,"It's a piece of the advanced technology once known to the dwarves. It's still glowing and humming, but you're unable to understand how it works."
"(48, 80)",123,Ancient Drum,,Looks like skin stretched over bone. Nice sound though.,,"It's a drum made from wood and animal skin. It has a low, reverberating tone."
"(64, 80)",124,Golden Mask,,"Holes around the rim suggest a sinister internal mechanism, but you can't tell how it works.",,A creepy golden mask probably used in an ancient magic ritual. A socket in the forehead contains a large purple gemstone.
"(80, 80)",125,Golden Relic,,"The hieroglyphs seem to show a warning, but you can't decipher what it means.",,It's a golden slab with heiroglyphs and pictures emblazoned onto the front.
"(96, 80)",126,Strange Doll,,What a beautiful smile you have.,,???
"(112, 80)",127,Strange Doll,,It just wants to spend your whole life with you.,,???
"(128, 80)",128,Pufferfish,,"Expands to stab with poisonous spines when threatened. Its cousin, the pufferchick, is much more friendly.",,Inflates when threatened.
"(144, 80)",129,Anchovy,,Suspected of ruining many a soup.,,A small silver fish found in the ocean.
"(160, 80)",130,Tuna,,The nets used to catch them also drown dolphins.,,A large fish that lives in the ocean.
"(176, 80)",131,Sardine,,An oily little fish with a funky flavor.,,A common ocean fish.
"(192, 80)",132,Bream,,"A strangely slender and tall fish, it appears flat as a pancake when on its side.",,A fairly common river fish that becomes active at night.
"(256, 80)",136,Largemouth Bass,,The gaping maw of this widemouth fish has been known to devour small alligators.,,A popular fish that lives in lakes.
"(272, 80)",137,Smallmouth Bass,,Fights desperately to survive with frantic acrobatics when hooked.,,A freshwater fish that is very sensitive to pollution.
"(288, 80)",138,Rainbow Trout,,An invasive species that has hunted some native fish to endangered status.,,A freshwater trout with colorful markings.
"(304, 80)",139,Salmon,,"In fall, these fish swim miles upstream and die just to mate.",,Swims upstream to lay its eggs.
"(320, 80)",140,Walleye,,Its blank eyes have an eerie nocturnal glow.,,A freshwater fish caught at night.
"(336, 80)",141,Perch,,It often feeds on the young of its own species.,,A freshwater fish of the winter.
"(352, 80)",142,Carp,,An oily garbage fish that feeds by sucking up mouthfuls of mud and spitting them out.,,A common pond fish.
"(368, 80)",143,Catfish,,This ugly bottom-feeder will eat just about anything.,,An uncommon fish found in streams.
"(0, 96)",144,Pike,,"Body covered in mucus, shovel-shaped snout, and a mouth full of razor-sharp teeth.",,A freshwater fish that's difficult to catch.
"(16, 96)",145,Sunfish,,"Under rare circumstances this omen fish can appear anywhere, even in lava or swamps.",,A common river fish.
"(32, 96)",146,Red Mullet,,Fry up the livers for a savory treat.,,Long ago these were kept as pets.
"(48, 96)",147,Herring,,Swims with its gaping mouth wide open.,,A common ocean fish.
"(64, 96)",148,Eel,,Wriggles and writhes just like some long organ.,,"A long, slippery little fish."
"(80, 96)",149,Octopus,,"The tentacles give a tingly, suckling sensation.",,A mysterious and intelligent creature.
"(96, 96)",150,Red Snapper,,"Its fertilized eggs float on the surface and hatch within a day, serving as food for other prey.",,A popular fish with a nice red color.
"(112, 96)",151,Squid,,"These soft-bodied animals are known to be incredibly intelligent. Still, delicious.",,A deep sea creature that can grow to enormous size.
"(128, 96)",152,Seaweed,,Not a great substitute for bacon.,,It can be used in cooking.
"(144, 96)",153,Green Algae,,"The consistency of cold snot, with the occasional satisfying crunch.",,It's really slimy.
"(160, 96)",154,Sea Cucumber,,Small fish and crabs take shelter in this creature's anus.,,"A slippery, slimy creature found on the ocean floor."
"(176, 96)",155,Super Cucumber,,Projectile-vomits its own internal organs at would-be predators.,,"A rare, purple variety of sea cucumber."
"(192, 96)",156,Ghostfish,,Should have left it in the water...,,"A pale, blind fish found in underground lakes."
"(208, 96)",157,White Algae,,It leaves a fragrant white film on your hands.,,It's super slimy.
